N,TritonCPU,TorchNativeCPU,TorchJitCPU,TritonGPU,TorchNativeGPU,TorchJitGPU
256.000000,2.064134,6721.641258,12.089282,953.250914,926.303883,279.471220
384.000000,1.427934,10082.461887,14.538785,1173.779141,1139.756496,361.744246
512.000000,1.862394,4.273048,0.215693,1365.333285,1304.198988,427.292573
640.000000,1.057063,16384.000414,2.606230,1482.714967,1434.048180,478.364979
768.000000,1.314943,19660.800497,3.788646,1566.597670,1533.005829,514.175873
896.000000,1.433042,2903.493758,25.316042,1635.479435,1650.187096,539.867014
1024.000000,1.704231,5793.237704,4.737721,1731.752236,1724.631656,560.885789
1152.000000,0.938742,2331.320106,29.174653,1666.169544,1384.563337,576.844996
1280.000000,1.035611,1669.706921,3.467926,1720.105029,1466.129759,580.221344
1408.000000,1.134977,1394.383037,3.981179,1764.739306,1355.067729,574.190356
1536.000000,1.238701,1264.360085,29.353512,1803.743111,1444.319524,562.339627
1664.000000,1.321726,1215.360943,25.419742,1840.103656,1378.589017,551.257195
1792.000000,1.419297,1020.582896,29.863265,1862.952190,1447.167201,549.074794
1920.000000,1.504865,4.031438,34.748062,1892.281048,1405.346734,547.197346
2048.000000,1.077517,8.965406,3.305011,1911.715638,1789.378900,524.812792
2176.000000,0.294998,14.396723,4.992509,1877.189620,1461.130520,514.958155
2304.000000,0.306245,9.390644,0.868473,1898.065916,1527.052421,506.395380
2432.000000,0.340168,4.673500,1.571016,1906.136930,1502.937799,500.023707
2560.000000,0.372082,4.841107,4.276171,1927.529419,1565.038854,494.657969
2688.000000,0.399476,12.452214,3.053234,1954.909076,1423.958576,495.323361
2816.000000,0.426026,5.874968,9.263604,1971.007567,1479.519711,493.004611
2944.000000,0.481893,12.753700,1.065860,1984.631941,1463.425181,492.832452
3072.000000,0.447130,12.478542,3.116455,1992.227951,1521.881056,493.060803
3200.000000,0.552527,11.098335,3.796706,2000.488381,1430.917046,489.805667
3328.000000,0.591536,11.507677,3.862675,2008.174426,1469.543792,489.707132
3456.000000,0.661245,7.643260,3.529197,2017.641998,1469.051089,488.433365
3584.000000,0.694238,12.432935,1.652516,2023.719928,1514.970525,487.385919
3712.000000,0.744875,6.756409,1.340563,2032.667340,1479.022561,488.320649
3840.000000,0.807834,7.347579,2.754261,2042.680531,1511.206751,486.894501
3968.000000,0.898446,7.827817,1.443440,2043.879272,1509.372952,484.410132
4096.000000,0.993166,11.610803,4.193247,2030.156924,1969.156881,482.519863
4224.000000,0.213163,6.732931,2.717626,2041.234477,1851.616365,482.796741
4352.000000,0.224781,7.598947,2.201845,2051.771632,1860.729795,485.398961
